Pulsatilla alpina;Pulsatilla alpina;190503
Pulsatilla patens;Pulsatilla patens;189911
Pulsatilla pratensis;Pulsatilla pratensis;190062
Pulsatilla vernalis;Pulsatilla vernalis;189910
Pulsatilla vulgaris;Pulsatilla vulgaris;189909
Pyrola media;Pyrola media;190377
Pyrola minor;Pyrola minor;190375
Pyrola rotundifolia;Pyrola rotundifolia;190378
Pyrus communis;Pyrus communis;189980
Ranunculus acris;Ranunculus acris;189721
Ranunculus arvensis;Ranunculus arvensis;190284
Ranunculus auricomus;Ranunculus auricomus;190015
Ranunculus bulbosus;Ranunculus bulbosus;190281
Ranunculus flammula;Ranunculus flammula;190682
Ranunculus fluitans;Ranunculus fluitans;190388
Ranunculus lanuginosus;Ranunculus lanuginosus;190260
Ranunculus lingua;Ranunculus lingua;190473
Ranunculus montanus;Ranunculus montanus;190009
Ranunculus repens;Ranunculus repens;190233
Ranunculus sceleratus;Ranunculus sceleratus;190474
Ranunculus trichophyllus;Ranunculus trichophyllus;190308
Raphanus raphanistrum;Raphanus raphanistrum;189763
Reseda lutea;Reseda lutea;190286
Rhamnus cathartica;Rhamnus cathartica;190081
Rhinanthus alectorolophus;Rhinanthus alectorolophus;190265
Rhinanthus angustifolius;Rhinanthus angustifolius;190264
Rhinanthus minor;Rhinanthus minor;190266
Rhododendron ferrugineum;Rhododendron ferrugineum;190544
Rhododendron hirsutum;Rhododendron hirsutum;190153
Rhododendron tomentosum;Rhododendron tomentosum;190156
Ribes alpinum;Ribes alpinum;190071
Ribes nigrum;Ribes nigrum;190075
Ribes petraeum;Ribes petraeum;190074
Ribes uva-crispa;Ribes uva-crispa;190070
Robinia pseudoacacia;Robinia pseudoacacia;190362
Rorippa amphibia;Rorippa amphibia;190237
Rorippa palustris;Rorippa palustris;190466
Rorippa sylvestris;Rorippa sylvestris;190472
Rosa arvensis;Rosa arvensis;190366
Rosa canina;Rosa canina;190160
Rosa villosa;Rosa villosa;190543
Rubus caesius;Rubus caesius;190344
Rubus idaeus;Rubus idaeus;190346
Rubus plicatus;Rubus plicatus;190345
Rubus saxatilis;Rubus saxatilis;190331
Rumex acetosa;Rumex acetosa;190200
Rumex acetosella;Rumex acetosella;190199
Rumex alpinus;Rumex alpinus;190574
Rumex conglomeratus;Rumex conglomeratus;190592
Rumex crispus;Rumex crispus;190595
Rumex obtusifolius;Rumex obtusifolius;190573
Sagina procumbens;Sagina procumbens;189747
Sagittaria sagittifolia;Sagittaria sagittifolia;190385
Salicornia europaea;Salicornia europaea;190591
Salvia pratensis;Salvia pratensis;189729
Sambucus nigra;Sambucus nigra;190356
Sambucus racemosa;Sambucus racemosa;190024
Sanguisorba minor;Sanguisorba minor;190102
Sanguisorba officinalis;Sanguisorba officinalis;190073
Sanicula europaea;Sanicula europaea;190190
Saponaria officinalis;Saponaria officinalis;189783
Saxifraga granulata;Saxifraga granulata;189844
Saxifraga paniculata;Saxifraga paniculata;190318
Scabiosa columbaria;Scabiosa columbaria;190613
Scheuchzeria palustris;Scheuchzeria palustris;190084
Scilla bifolia;Scilla bifolia;189917
Scleranthus annuus;Scleranthus annuus;190107
Scorzoneroides autumnalis;Scorzoneroides autumnalis;190433
Scrophularia nodosa;Scrophularia nodosa;190537
Scrophularia umbrosa;Scrophularia umbrosa;190585
Scutellaria galericulata;Scutellaria galericulata;190557
Scutellaria minor;Scutellaria minor;190600
Securigera varia;Securigera varia;190458
Sedum acre;Sedum acre;190421
Sedum album;Sedum album;189795
Sedum sexangulare;Sedum sexangulare;190422
Senecio jacobaea;Senecio jacobaea;190687
Senecio ovatus;Senecio ovatus;190688
Senecio viscosus;Senecio viscosus;190435
Senecio vulgaris;Senecio vulgaris;189998
Serratula tinctoria;Serratula tinctoria;190659
Sherardia arvensis;Sherardia arvensis;190135
Silaum silaus;Silaum silaus;190445
Silene dioica;Silene dioica;190036
Silene latifolia;Silene latifolia;189786
Silene nutans;Silene nutans;189842
Silene viscaria;Silene viscaria;190191
Silene vulgaris;Silene vulgaris;189787
Sinapis arvensis;Sinapis arvensis;190290
Sisymbrium officinale;Sisymbrium officinale;190296
Solanum dulcamara;Solanum dulcamara;190567
Solanum nigrum;Solanum nigrum;189809
Soldanella carpatica;Soldanella carpatica;190483
Solidago canadensis;Solidago canadensis;190673
Solidago virgaurea;Solidago virgaurea;190685
Sonchus arvensis;Sonchus arvensis;190697
Sonchus asper;Sonchus asper;190426
Sorbus aria;Sorbus aria;190358
Sorbus aucuparia;Sorbus aucuparia;190360
Sorbus torminalis;Sorbus torminalis;190359
Sparganium erectum;Sparganium erectum;190471
Spergula arvensis;Spergula arvensis;189781
Spirodela polyrrhiza;Spirodela polyrrhiza;190092
Stachys germanica;Stachys germanica;190535
Stachys officinalis;Stachys officinalis;190518
Stachys palustris;Stachys palustris;190517
Stachys recta;Stachys recta;190368
Stachys sylvatica;Stachys sylvatica;190525
Stellaria alsine;Stellaria alsine;190391
Stellaria graminea;Stellaria graminea;189771
Stellaria holostea;Stellaria holostea;189978
Stellaria media;Stellaria media;189770
Stellaria nemorum;Stellaria nemorum;190327
Succisa pratensis;Succisa pratensis;190620
Symphytum officinale;Symphytum officinale;190116
Syringa vulgaris;Syringa vulgaris;190730
Tanacetum vulgare;Tanacetum vulgare;190701
Taraxacum officinale;Taraxacum officinale;189440
Teesdalia nudicaulis;Teesdalia nudicaulis;189742
Telekia speciosa;Telekia speciosa;190745
Teucrium chamaedrys;Teucrium chamaedrys;190652
Thalictrum aquilegiifolium;Thalictrum aquilegiifolium;190125
Thalictrum flavum;Thalictrum flavum;190443
Thesium pyrenaicum;Thesium pyrenaicum;189853
Thlaspi arvense;Thlaspi arvense;189447
Thlaspi perfoliatum;Thlaspi perfoliatum;189748
Thymus serpyllum;Thymus serpyllum;190496
Tilia cordata;Tilia cordata;190223
Tilia platyphyllos;Tilia platyphyllos;190480
Tragopogon pratensis;Tragopogon pratensis;190390
Trifolium aureum;Trifolium aureum;190436
Trifolium campestre;Trifolium campestre;190437
Trifolium medium;Trifolium medium;190515
Trifolium montanum;Trifolium montanum;189886
Trifolium pratense;Trifolium pratense;190516
Trifolium repens;Trifolium repens;189887
Trifolium resupinatum;Trifolium resupinatum;190061
Tripleurospermum inodorum;Tripleurospermum inodorum;189826
Trollius europaeus;Trollius europaeus L.;190278
Turritis glabra;Turritis glabra;190336
Tussilago farfara;Tussilago farfara;189894
Typha angustifolia;Typha angustifolia;190583
Typha latifolia;Typha latifolia;190586
Ulex europaeus;Ulex europaeus;190210
Ulmus glabra;Ulmus glabra;190046
Ulmus laevis;Ulmus laevis;190043
Ulmus minor;Ulmus minor;190045
Urtica dioica;Urtica dioica;190568
Urtica urens;Urtica urens;190112
Utricularia vulgaris;Utricularia vulgaris;190479
Vaccinium myrtillus;Vaccinium myrtillus;190077
Vaccinium oxycoccos;Vaccinium oxycoccos;190163
Vaccinium uliginosum;Vaccinium uliginosum;190157
Vaccinium vitis-idaea;Vaccinium vitis-idaea;190158
Valeriana dioica;Valeriana dioica;190175
Valeriana officinalis;Valeriana officinalis;190644
Valerianella locusta;Valerianella locusta;190052
Veratrum album;Veratrum album;189872
Verbascum densiflorum;Verbascum densiflorum;190464
Verbascum lychnitis;Verbascum lychnitis;189805
Verbascum nigrum;Verbascum nigrum;190420
Verbascum phoeniceum;Verbascum phoeniceum;190731
Verbascum thapsus;Verbascum thapsus;190419
Verbena officinalis;Verbena officinalis;190615
Veronica anagallis-aquatica;Veronica anagallis-aquatica;190138
Veronica arvensis;Veronica arvensis;190049
