Abies alba,abete bianco
Cerastium diffusum,peverina a 4 stili
Cerastium dubium,peverina anomala
Cerastium glomeratum,peverina dei campi
Cerastium glutinosum,peverina glutinosa
Cerastium holosteoides,peverina dei prati
Cerastium ligusticum,peverina ligure
Cerastium luridum,peverina viscida
Cerastium pumilum,peverina piccola
Cerastium scarani,peverina di scarano
Cerastium semidecandrum,peverina annuale
Cerastium siculum,peverina siciliana
Cerastium sylvaticum,peverina a foglie garandi
Cerastium tenoreanum,peverina di tenore
Cerastium tomentosum,peverina tomentosa
Cerathophyllum demersum,ceratofillo comune
Cerathophyllum submersum,ceratofillo sommerso
Ceratocephalus falcatus,ranuncolo falcato
Ceratonia siliqua,carrubo
Ceratostigma plumbaginoides,ceratostigma
Cercis siliquastrum,albero di giuda
Cerinthe major,erba-vajola maggiore
Cerinthe minor,erba-vajola minore
Ceterach officinarum,cedracca comune
Chaenorrhinum minus,linajola comune
Chaerophyllum aureum,cerfoglio bastardo
Chaerophyllum hirsutum,cerfoglio selvatico
Chamaecytisus hirsutus,citiso peloso
Chamaecytisus spinescens,citiso spinoso
Chamaespartium sagittale,ginestra alata
Cheilanthes marantae,felcetta lanosa
Cheilanthes pteridioides,felcetta odorosa
Chelidonium majus,celidonia
Chenopodium album,farinello comune
Chenopodium ambrosioides,farinello aromatico
Chenopodium bonus-henricus,farinello buon-enrico
Chenopodium botrys,farinello botri
Chenopodium ficifolium,farinello con foglie di fico
Chenopodium hybridum,farinello ibrido
Chenopodium multifidum,farinello multifido
Chenopodium murale,farinello murale
Chenopodium opulifolium,farinello viburniforme
Chenopodium polyspermum,farinello polisporo
Chenopodium rubrum,farinello rosso
Chenopodium urbicum,farinello pie’ d’oca
Chenopodium vulvaria,farinello puzzolente
Chondrilla juncea,lattugaccio comume
Chrozophora tinctoria,tornasole comune
Chrysanthemum coronarium,crisantemo giallo
Chrysanthemum indicum,crisantemo comune
Chrysanthemum segetum,crisantemo campestre
Chrysopogon gryllus,trebbia maggiore
Chrysosplenium alternifolium,erba-milza comune
Cicendia filiformis,cicendia comune
Cicer arietinum,cece
Cicerbita alpina,cicerbita violetta
Cichorium endivia,endivia
Cichorium intybus,cicoria comune
Cichorium pumilum,endivia selvatica
Circaea alpina,erba-maga delle alpi
Circaea lutetiana,erba-maga comune
Circaea x,erba-maga ibrida
Cirsium acaule,cardo nano
Cirsium arvense,cardo campestre
Cirsium creticum,cardo cretese
Cirsium eriophorum,cardo scardaccio
Cirsium erisithales,cardo zampa d’orso
Cirsium italicum,cardo italico
Cirsium montanum,cardo montano
Cirsium morisianum,cardo di moris
Cirsium oleraceum,cardo giallastro
Cirsium palustre,cardo di palude
Cirsium pannonicum,cardo serretta
Cirsium tenoreanum,cardo di tenore
Cirsium vulgare,cardo asinino
Cistus incanus,cisto rosso
Cistus monspeliensis,cisto di montpellier
Cistus salvifolius,cisto femmina
Citrullus lanatus,anguria
Citrus limon,limone
Cladium mariscus,falasco
Cleistogenes serotina,paleo tardivo
Clematis alpina,clematide alpina
Clematis flammula,clematide fiammola
Clematis recta,clematide erecta
Clematis vitalba,clematide vitalba
Clematis viticella,clematide paonazza
Clinopodium vulgare,clinopodio dei boschi
Clypeola jonthlaspi,clipeola
Cnicus benedictus,cardo benedetto
Cnidium silaifolium,carvifoglio dei boschi
Coeloglossum viride,celoglosso
Colchicum alpinum,colchico minore
Colchicum autumnale,colchico d’autunno
Colchicum cupanii,colchico di cupani
Colchicum lusitanum,colchico portoghese
Colchicum neapolitanum,colchico napoletano
Coleostephus myconis,margherita gialla
Colutea arborescens,vesicaria
Conium maculatum,cicuta maggiore
Conringia orientalis,conringia orientale
Consolida ajacis,speronella fior-cappuccio
Consolida regalis,speronella consolida
Convallaria majalis,mughetto
Convolvulus althaeoides,vilucchio rosso
Convolvulus arvensis,vilucchio comune
Convolvulus cantabrica,vilucchio bicchierino
Convolvulus elegantissimus,vilucchio elegantissimo
Convolvulus pentapetaloides,vilucchio a cinque petali
Conyza albida,saeppola di naudin
Conyza bonariensis,saeppola di buenos aires
Conyza canadensis,saeppola canadese
Corallorhiza trifida,coralloriza
Coriandrum sativum,coriandolo comune
Cornus mas,corniolo maschio
Cornus sanguinea,corniolo sanguinello
Coronilla coronata,cornetta coronata
Coronilla cretica,cornetta cretese
Coronilla emerus,cornetta dondolina
Coronilla minima,cornetta minima
Coronilla repanda,cornetta ritorta
Coronilla scorpioides,cornetta coda-di-scorpione
Coronilla vaginalis,cornetta guainata
Coronilla valentina,cornetta di valenza
Coronilla varia,cornetta ginestrina
Coronopus didymus,lappolina americana
Coronopus squamatus,lappolina gramignola
Corrigiola litoralis,corrigiola litorale
Corydalis cava,colombina cava
Corydalis intermedia,colombina media
Corydalis ochroleuca,colombina bianco-gialla
Corydalis solida,colombina solida
Corylus avellana,nocciolo comune
Corylus maxima,nocciolo lungo
Corynephorus divaricatus,panico articolato
Cotinus coggygria,sommacco selvatico
Cotoneaster integerrimus,cotognastro minore
Cotoneaster nebrodensis,cotognastro bianco
