Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Aquilegia flavellata var. pumila;みやまおだまき;深山苧環
Aquilegia formosa;アクイレギア･フォルモーサ;
Aquilegia longissima;アクイレギア・ロンギッシマ;
Aquilegia sp.;ちしまるりおだまき;千島瑠璃苧環
Aquilegia vulgaris;せいようおだまき;西洋苧環
Arabis blepharophylla;アラビス・ブレファロフィラ;
Arabis caerulea;アラビス・カエルレア;
Arabis caucasica;にわはたざお;庭旗竿
Arabis flagellosa;すずしろそう;清白草
Arabis gemmifera;はくさんはたざお;白山旗竿
Arabis hirsuta;やまはたざお;山旗竿
Arabis lyrata var. kamtschatica;みやまはたざお;深山旗竿
Arabis serrata var. japonica;いわはたざお;岩旗竿
Arabis stelleri var. japonica;はまはたざお;浜旗竿
Arachis hypogaea;らっかせい;落花生
Arachnioides standishii;りょうめんしだ;両面羊歯
Aralia cordata;うど;独活
Aralia elata;たらのき;たらの木
Aralia glabra;みやまうど;深山独活
Araucaria araucana;チリまつ;チリ松
Araucaria bidwillii;ブンヤパイン;広葉の南洋杉
Araucaria brasiliana;ブラジルまつ;ブラジル松
Araucaria cunninghamii;なんようすぎ;南洋杉
Arbutus unedo;いちごのき;苺の木
Arbutus xalapensis;テキサスマドロナ;
Archontophoenix alexandrae;ゆすらやし;ゆすら椰子
Arcterica nana;こめばつがざくら;米葉栂桜
Arctium lappa;ごぼう;牛蒡
Arctotheca calendula;アルクトテカ・カレンドゥラ;
Ardisia crenata;まんりょう;万両
Ardisia elliptica;セイロンまんりょう;万両
Ardisia japonica;やぶこうじ;藪柑子
Ardisia pyramidalis;アルディシア・ピラミダリス;
Areca catechu;びんろうじゅ;檳榔樹
Arecastrum romanzoffianum;じょうおうやし;女王椰子
Arenaria ciliata;アレナリア・キリアタ;
Arenaria merckioides;めあかんふすま;雌阿寒衾
Arenaria montana;アレナリア・モンタナ;
Arenaria serpyllifolia;のみのつづり;蚤の綴り
Arenga engleri;くろつぐ;山棕
Arenga pinnata;さとうやし;砂糖椰子
Argemone mexicana;あざみげし;薊罌粟
Argemone polyanthemos;アルゲモネ・ポリアンテモス;
Argusia argentea;もんぱのき;紋羽の木
Argyreia nervosa;おおばあさがお;大葉朝顔
Argyroxiphium sandwicense;ぎんけんそう;銀剣草
Ariocarpus kotschoubeyanus;くろぼたん;黒牡丹
Ariocarpus retusus;いわぼたん;岩牡丹
Ariocarpus retusus cv.;たまぼたん;玉牡丹
Arisaema ishizuchiense var. brevicollum;かみこうちてんなんしょう;上高地天南星
Arisaema kishidae;むろうまむしぐさ;室生蝮草
Arisaema peninsulae;こうらいてんなんしょう;高麗天南星
Arisaema ringens;むさしあぶみ;武蔵鐙
Arisaema serratum;まむしぐさ;蝮草
Arisaema sikokianum;ゆきもちそう;雪餅草
Arisaema thunbergii ssp. urashima;うらしまそう;浦島草
Arisaema triphyllum;アリサエマ・トリフィルム;
Arisaema undulatifolium var. ionostemma;みみがたてんなんしょう;耳形天南星
Arisaema yamatense;むろうてんなんしょう;室生天南星
Arisaema yamatense ssp. sugimotoi;するがてんなんしょう;駿河天南星
Aristea ecklonii;アリステア・エックロニー;
Aristolochia brasiliensis;アリストロキア・ブラジリエンシス;
Aristolochia elegans;アリストロキア・エレガンス;パイプ葛
Aristolochia gigantea;アリストロキア・ギガンテア;
Aristolochia grandiflora;アリストロキア・グランディフローラ;
Aristolochia tricaudata;アリストロキア・トリカウダタ;
Armeria alpina;アルメリア・アルピナ;
Armeria caespitosa;アルメリア・カエスピトーサ;姫浜簪
Armeria vulgaris;アルメリア;浜簪
Armillaria tabescens;ならたけもどき;楢茸擬き
Armoracia rusticana;せいようわさび;西洋山葵
Arnica montana;アルニカ・モンタナ;
Arnica unalaschcensis var. tschonoskyi;うさぎぎく;兎菊
Arnica unalaschcensis var. unalaschcensis;えぞうさぎぎく;蝦夷兎菊
Aronia albutifolia;せいようかまつか;西洋鎌柄
Arrhenatherum elatius ssp. bulbosum cv. Variegatum;リボングラス;
Artabotrys hexapetalus;おうそうか;鷹爪花
Artemisia abrotanum;サザンウッド;
Artemisia absinthium;にがよもぎ;苦蓬
Artemisia capillary;かわらよもぎ;河原蓬
Artemisia chamaemelifolia;アルテミシア・カマエメリフォリア;
Artemisia cv. Poeis Castle;アルテミシア・ポウィスキャッスル;
Artemisia dracunculoides;ロシアンタラゴン;
Artemisia iwayomogi;いわよもぎ;岩蓬
Artemisia keiskeana;いぬよもぎ;犬蓬
Artemisia monophylla;ひとつばよもぎ;一つ葉蓬
Artemisia montana;おおよもぎ;大蓬
Artemisia pedunculosa;みやまおとこよもぎ;深山男蓬
Artemisia princeps;よもぎ;蓬
Artemisia schmidtiana;あさぎりそう;朝霧草
Artemisia sinanensis;たかねよもぎ;高嶺蓬
Artemisia tridentata;やまよもぎ;山蓬
Artemisia versicolor;アルテミシア・ウェルシコロル;
Arthraxon hispidus;こぶなぐさ;
Artocarpus altilis;パンのき;パンの木
Artocarpus heterophyllus;ぱらみつ;波羅蜜
Artocarpus integra;こぱらみつ;小波羅蜜
Artocarpus rigida;かたとげパンのき;堅棘パンの木
Arum italicum;アルム・イタリクム;
Aruncus aethusifolius;たんなちだけさし;耽羅乳茸刺
Aruncus dioicus;アルンクス・ディオイクス;
Aruncus dioicus var. tenuifolius;やまぶきしょうま;山吹升麻
Arundina graminifolia;なりやらん;成屋蘭
Arundinella hirta;とだしば;戸田芝
Arundo donax;だんちく;暖竹
Asarina scandens;アサリナ・スカンデンス;
Asarum canadense;アサルム・カンデンセ;
Asarum caulescens;ふたばあおい;双葉葵
Asarum maximum;パンダかんあおい;パンダ寒葵
Asclepias curassavica;とうわた;唐綿
Asclepias fascicularis;アスクレピアス・ファスキクラリス;
Asclepias speciosa;アスクレピアス・スペキオサ;
Asclepias variegata;アスクレピアス・バリエガタ;
Ascocenda sp.;アスコケンダ;
Ascocentrum christensonianum;アスコケントルム・クリステンソニアヌム;
Ascocentrum garayi;アスコケントルム・ガライ;
Ascofinetia sp.;アスコフィネティア;
Asiasarum sieboldii;うすばさいしん;薄葉細辛
Asimina triloba;ポーポー;
Asparagus densiflorus cv. Myers;アスパラガス・マイヤーズ;
Asparagus densiflorus cv. Sprengeri;アスパラガス・スプレンゲリ;
Asparagus myriocladus;アスパラガス・ミリオクラドゥス;立ち箒
Asparagus officinalis;アスパラガス;オランダ雉隠
Asperula odorata;くるまばそう;車葉草
Asperula orientalis;アスペルラ・オリエンタリス;玉車葉草
Asphodelus fistulosus;はなつるぼらん;
Aspidistra elatior;はらん;葉蘭
Asplenium antiquum;おおたにわたり;大谷渡り
Asplenium nidus;しまおおたにわたり;島大谷渡り
Asplenium nidus cv. Avis;しまおおたにわたり・アビス;
Asplenium scolopendrium;こたにわたり;
Astartea fascicularis;アスタルテア・ファスキクラリス;
Astelia fragrans;アステリア・フラグランス;
Astelia nervosa;アステリア・ネルウォーサ;
Aster ageratoides ssp. angustifolius;ほそばこんぎく;細葉紺菊
Aster ageratoides var. ageratoides;しろよめな;白嫁菜
Aster ageratoides var. tubulosus;ちょくざきよめな;直咲き嫁菜
Aster alpinus;アスター・アルピヌス;
Aster bellidiastrum;アスター・ベルリディアストルム;
Aster glehnii var. hondoensis;ごまな;胡麻菜
Aster himalaicus;アスター・ヒマライクス;
Aster hispidus var. leptocladus;やなぎのぎく;柳野菊
Aster iinumae;ゆうがぎく;柚香菊
Aster incisus;おおゆうがぎく;大柚香菊
Aster kantoensis;かわらのぎく;河原野菊
Aster lateriflorus;アスター・ラテリフロールス;
Aster ledophyllus;カスケードアスター;
Aster novi-belgii;ゆうぜんぎく;友禅菊
Aster oblongifolius;アスター・オブロンギフォリウス;
Aster ovatus var. ovatus;のこんぎく;野紺菊
Aster ovatus var. yezoensis;えぞのこんぎく;蝦夷野紺菊
Aster pilosus;くじゃくそう;孔雀草
Aster pilosus cv. Asty;くじゃくそう・アスティー;孔雀草・アスティー
Aster praealtus;アスター・プラエアルツス;
Aster rugulosus;しろさわぎく;沢白菊
Aster rugulosus var. shibukawaensis;しぶかわしろぎく;
Aster scaber;しらやまぎく;白山菊
Aster semiamplexicaulis;いなかぎく;田舎菊
Aster sohayakiensis;ほそばのぎく;細葉野菊
Aster spathulifolius;だるまぎく;達磨菊
Aster subulatus;ほうきぎく;箒菊
Aster subulatus var. sandwicensis;ひろはほうきぎく;広葉箒菊
Aster tataricus;しおん;紫苑
Aster viscidulus;はこねぎく;箱根菊
Aster yunnanensis;アスター・ユンナネンシス;
Asteranthera ovata;アステランテラ・オバータ;
Asteropytum peltatum;アステロピルム・ペルタツム;
Astilbe microphylla;ちだけさし;乳茸刺
Astilbe thunbergii var. congesta;とりあししょうま;鳥足升麻
Astilbe thunbergii var. formos;はなちだけさし;花乳茸刺
Astilbe thunbergii var. hachijoensis;はちじょうしょうま;八丈升麻
Astilbe thunbergii var. terrestris;やくしましょうま;屋久島升麻
Astilbe thunbergii var. thunbergii;あかしょうま;赤升麻
Astilbe x arendsii;アスチルベ;泡盛草
Astilbe yunnanensis;うんなんしょうま;雲南升麻
Astragalus frigidus;アストラガルス・フリギドゥス;
Astragalus sinicus;げんげ;紫雲英
Astrantia major;アストランティア・マイオール;
Astrophytum asterias;かぶとまる;兜丸
Astrophytum myriostigma;らんぽうぎょく;鸞鳳玉
Astrophytum ornatum;はんにゃ;般若
Asyneuma japonicum;しでしゃじん;四手沙参
Asystasia gangetica;アシスタシア・ガンゲティカ;
Asystasia intrusa;アシスタシア・イントルサ;
Asystasia travancorica;アシスタシス・トラワンコリカ;
Athyrium distentifolium;おくやまわらび;奥山蕨
Athyrium melanolepis;みやまめしだ;深山雌羊歯
Athyrium niponicum;いぬわらび;犬蕨
Atractylodes japonica;おけら;朮
Atriplex canescens;アトリプレックス・カネスケンス;
Atriplex subcordata;はまあかざ;浜藜
Atropa belladonna;ベラドンナ;狼茄子
Aubrieta deltoidea;むらさきなずな;紫薺
Aucuba japonica;あおき;青木
Aucuba japonica cv. Variegata;ふいりあおき;斑入り青木
Aucuba japonica var. borealis;ひめあおき;姫青木
Aurinia saxatilis;いわなずな;岩薺
Avena fatua;からすむぎ;烏麦
Avena sativa;えんばく;燕麦
Averrhoa bilimbi;ビリンビ;長葉の五斂子
Averrhoa carambola;ごれんし;五斂子
Avonia papyracea ssp. namaensis;アボニア・パピラケア;
Azadirachta indica;ニーム;インド栴檀
Azolla imbricata;あかうきくさ;赤浮き草
Azolla japonica;おおあかうきくさ;大赤浮き草
Babiana cedarbergensis;バビアナ・ケダルベルゲンシス;
Babiana cv. Early Blue;バビアナ・アーリーブルー;
Babiana stricta;バビアナ;穂咲き菖蒲
Baccharis halimifolia;バッカリス・ハリミフォリア;
Bacopa caroliniana;ウォーターバコパ;
Bacopa lanigera;イエローバコパ;
Baileya multiradiata;バイレヤ・ムルチラディアータ;
Bambusa multiplex;ほうらいちく;鳳来竹
Bambusa multiplex f. alphonso-karri;すおうちく;蘇芳竹
Bambusa multiplex f. solida;こまちだけ;小町竹
Bambusa multiplex f. variegata;ほうしょうちく;鳳翔竹
Bambusa multiplex var. elegans;ほうおうちく;鳳凰竹
Bambusa multiplex var. elegans f. albo-striata;みきすじほうおうちく;紅鳳凰竹
Bambusa multiplex var. elegans f. viridi-striata;べにほうおうちく;紅鳳凰竹
Bambusa textilis;せいひちく;
Bambusa ventricosa;だいふくちく;大福竹
Banksia ericifolia;バンクシア・エリキフォリア;
Banksia integrifolia;バンクシア・インテグリフォリア;
Banksia robur;バンクシア・ローブル;
Banksia spinulosa;バンクシア・スピヌローサ;
Baptisia australis;むらさきせんだいはぎ;紫先代萩
Barbarea orthoceras;やまがらし;山芥子
Barbarea vulgaris;はるざきやまがらし;春咲き山芥子
Barleria albostellata;バルレリア・アルボステラータ;
Barleria candida;バルレリア・カンディダ;
Barleria cristata;バルレリア・クリスタータ;
Barleria repens;バルレリア・レペンス;
Barringtonia asiatica;ごばんのあし;碁盤の脚
Barringtonia racemosa;さがりばな;下がり花
Bartsia alpina;バルトシア・アルピナ;
Basella rubara;つるむらさき;蔓紫
Bauhinia blakeana;バウヒニア・ブラケアナ;
Bauhinia galpinii;バウヒニア・ガルピニー;
Bauhinia mexicana;バウヒニア・メキシカーナ;
Bauhinia purpurea;むらさきそしんか;紫蘇芯花
Bauhinia variegata;ふいりそしんか;斑入り蘇芯花
Bauhinia variegata var. candida;しろばなそしんか;白花蘇芯花
Beaucarnea bigelovii;ボウカルネア・ビゲロウィイ;
Beaucarnea gracilis;ちょうしらん;銚子蘭
Beaucarnea recurvata;とっくりらん;徳利蘭
Beaumontia gradiflora;ボーモンティア・グランディフローラ;
Beaumontia multiflora;ボーモンティア・ムルチフローラ;
Bebbia juncea;ベッビア・ユンケア;
Beckmannia syzigachne;かずのこぐさ;数の子草
Begonia conchifolia var. rubrimacula;ベゴニア・ルブリマクラ;
Begonia convolvulacea;ベゴニア・コンウォルウラケア;
Begonia cv. Malaysia #1;ベゴニア・マレーシアげんしゅ１ごう;
Begonia evansiana;しゅうかいどう;秋海棠
Begonia fenicis;こうとうしゅうかいどう;紅頭秋海棠
Begonia foliosa;ベゴニア・フォリオサ;
Begonia kellermanii;ベゴニア・ケレルマニイ;
Begonia longipes var. petiolata;ベゴニア・ペチオラータ;
Begonia luxurians;ベゴニア・ルクスリアンス;
Begonia massoniana;ベゴニア・マッソニアーナ;
Begonia pearcei;ベゴニア・ペアルケイ;
Begonia reniformis;ベゴニア・レニフォルミス;
Begonia rex-cultorum;レックスベゴニア;
Begonia schmidtiana;ベゴニア・シュミティアーナ;姫ベゴニア
Begonia semperflorens;ベゴニア・センパフローレンス;
Begonia silletensis;ベゴニア・シレテンシス;
Begonia sp.;きだちベゴニア;木立ベゴニア
Begonia sp.;こんけいベゴニア;根茎ベゴニア
Begonia tuberhybrida;きゅうこんベゴニア;球根ベゴニア
Begonia x cheimantha;クリスマスベゴニア;
Begonia x hiemalis;リーガースベゴニア;
Belamcanda chinensis;ひおうぎ;檜扇
Bellis perennis;デージー;雛菊
Beloperone guttata;こえびそう;小海老草
Benincasa hispida;とうがん;冬瓜
Berberis darwinii;ベルベリス・ダーウィニイ;
Berberis hookeri;フッケリーめぎ;フッケリー目木
Berberis julianae;ベルベリス・ユリアナエ;
Berberis orthobotrys;ベルベリス・オルトボトリス;
Berberis pruinosa;ベルベリス・プルイノーサ;天竺目木
Berberis thunbergii;めぎ;目木
Berberis thunbergii var. serratifolia;ベルベリス・セラティフォリア;
Berberis trifoliolata;アガリータ;
Berberis tschonoskyana;おおばめぎ;大葉目木
Berchemia racemosa;くまやなぎ;熊柳
Bergenia stracheyi;ヒマラヤゆきのした;ヒマラヤ雪の下
Beta vulgaris ssp. cicla var. cicla;ふだんそう;普段草
Betula davurica;やえがわかんば;八重皮樺
