Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Akebia trifoliata;みつばあけび;三葉通草
Akebia x pentaphylla;ごようあけび;五葉通草
Alangium chinense;しなうりのき;支那瓜の木
Alangium platanifolium var. trilobum;うりのき;瓜の木
Albizia julibrissin;ねむのき;合歓木
Alcea ficifolia;アルケア・フィキフォリア;
Alcea rosea;たちあおい;立葵
Alchemilla conjuncta;アルケミルラ・コンユンクタ;
Alchemilla japonica;はごろもぐさ;羽衣草
Alchemilla vulgaris;レディースマントル;羽衣草
Aletris foliata;ねばりのぎらん;粘り芒蘭
Aleurites cordata;あぶらぎり;油桐
Aleurites fordii;しなあぶらぎり;支那油桐
Alisma canaliculatum;へらおもだか;箆面高
Allamanda cathartica;ありあけかずら;有明葛
Allamanda cathartica cv. Hendersonii;おおばなありあけかずら;
Allamanda neriifolia;ひめありあけかずら;姫有明葛
Allamanda oenotheraefolia;アラマンダ・オエノテラエフォリア;
Allamanda schottii;アラマンダ・スコッティ;
Allamanda violacea;アラマンダ・ウィオラケア;紫有明葛
Allanamda cathartica cv. Stansill's Double;ありあけかずら・スタンシルズダブル;
Alliaria petiolata;にんにくがらし;大蒜辛子
Allionia incarnata;アリオニア・インカルナータ;
Allium acuminatum;アリウム・アクミナツム;
Allium amplectens;アリウム・アンプレクテンス;
Allium canadense var. canadense;アリウム・カナデンセ・カナデンセ;
Allium cepa;たまねぎ;玉葱
Allium cepa;レッドオニオン;赤玉葱
Allium chinense;らっきょう;辣韮
Allium cristophii;アリウム・クリストフィー;
Allium cyathophorum;アリウム・キアトフォルム;
Allium drummondii;アリウム・ドルモンディイ;
Allium fistulosum;ねぎ;葱
Allium fistulosum cv. Shimonita;しもにたねぎ;下仁田葱
Allium fistulosum var. caespitosum;わけぎ;分葱
Allium grayi;のびる;野蒜
Allium hirtifolium;アリウム・ヒルティフォリウム;
Allium hollandicum;アリウム・ホルランディクム;
Allium karataviense;アリウム・カラタウィエンセ;眉刷毛韮
Allium moly;アリウム・モーリー;黄花の行者大蒜
Allium neapolitanum;アリウム・ネアポリタヌム;
Allium sativum;にんにく;大蒜
Allium schoenoprasum;チャイブ;蝦夷葱
Allium schoenoprasum var. foliosum;あさつき;浅葱
Allium schoenoprasum var. orientale;しろうまあさつき;白馬浅葱
