Crataegus monogyna;jednovratni glog;glog crveni,glogić,glogovina,oštri trn,trn bieli,trn pasji,glog,glog bijeli,glog jednopestični,beli glog,jednokoštuničavi glog,bijeli trn,bijela drača,jednokoštičavi glog,jednoplodni glog
Crataegus nigra;crni glog;
Crataegus pentagyna;peterovratni glog;glog petpestični
Crepis alpestris;planinski dimak;
Crepis aurea;zlatni dimak;
Crepis biennis;dvogodišnji dimak;
Crepis capillaris;zeleni dimak;
Crepis foetida;smrdljivi dimak;
Crepis jacquinii;Žakenov dimak;
Crepis nicaeensis;francuski dimak;
Crepis paludosa;močvarni dimak;
Crepis praemorsa;mnogoglavičasti dimak;grkljanka
Crepis pulchra;lijepi dimak;
Crepis pyrenaica;Pirinejski dimak;
Crepis sancta;rascijepani zečevac;zečevac
Crepis setosa;bodljastotrepavičavi dimak;
Crepis succisifolia;hrvatski dimak;
Crepis tectorum;krovni dimak;
Crepis vesicaria;mjehurasti dimak;
Crepis zacintha;bradavičava žutenica;kurje oko,pustošna žutenica
Cruciata glabra;proljetna broćika;
Cruciata laevipes;četverolisna broćika;
Cruciata pedemontana;brdska broćika;
Crypsis aculeata;bodljasta trnica;trnica
Crypsis alopecuroides;repkasta trnika;
Cucubalus baccifer;bobičasta gušavica;gušavica
Cucumis metuliferus;kivano krastavac;
Cucumis melo;dinja;bostan,melon,milon,milun,mlon,mlun,pipon,baćiri
Cucumis sativus;krastavac;ugorak,vugorek,kukumar,kumor,ugorka
Cucurbita pepo;obična bundeva;misirača,mesirača,tikvanja,buča,bundeva,dublek,dumlek,tikva kuhanica,tikva,jestiva buča,patišon
Cuscuta epilinum;lanova vilina kosa;jednostruko predence,vilina kosa,vilina kosica
Cuscuta epithymum;vilina kosa majčine dušice;verdun,poponač,cvit vlasulja,lasulja,poponak,popovac,popovak,vilinje kose,vlasi na pelinu,vlasi na bosioku,vrdun,vrdun zelje,vrisac,predence,vilina kosa,Marijini vlasi,predence vilinakosa
Cuscuta europaea;europska vilina kosa;verdun,poponač,čela trava,grinta,maček,poponak,predenica,pripuzi,stršica,vražji štrik,vrdun,vrdun zelje,predence,predence topanac
Cuscuta monogyna;jednovratna vilina kosa;vilina kosa,predence,jednopestično predence
Cuscuta planiflora;Tenoreova kuskuta;
Cyclamen hederifolium;napuljska ciklama;napuljska skrižalina,skrizalina,mihojlica,gadove rožice,miholjica,skrižalina,klobučac,bršljanolistni klobučac
Cyclamen purpurascens;šumska ciklama;šumska skrižalina,skrižalina,mirisna ciklama,klobučac,mirisni klobučac,ciklama,križalina,miholjice
